epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
1,209,46920,224.497607656,745,0.193185787303
2,220,33530,152.409090909,820,0.363529652394
3,221,42180,190.859728507,645,0.494571253248
4,224,49110,219.241071429,800,0.656647735606
5,215,47855,222.581395349,715,0.825314273755
6,209,60100,287.559808612,1175,1.08389584253
7,202,60490,299.455445545,750,1.2792866263
8,190,59045,310.763157895,955,1.55473166532
9,188,63760,339.14893617,840,1.76392543793
10,181,71355,394.226519337,745,2.06380117792
11,180,70385,391.027777778,750,2.11632156923
12,197,59245,300.736040609,840,2.12401454923
13,171,76280,446.081871345,805,2.28694141915
14,154,78650,510.714285714,1045,2.48461566179
15,145,74615,514.586206897,1065,2.60680429308
16,140,72265,516.178571429,1105,2.62490273526
17,137,76345,557.262773723,975,2.77323563931
18,140,79315,566.535714286,1140,2.92930185258
19,134,79760,595.223880597,1120,3.07974992104
20,145,79740,549.931034483,940,3.18154457487
21,132,79920,605.454545455,1320,3.25401908765
22,128,79775,623.2421875,1570,3.2837885348
23,132,82620,625.909090909,1180,3.43854957076
24,139,86255,620.539568345,1310,3.53091738887
25,123,86515,703.37398374,1545,3.52716561294
26,134,81670,609.47761194,1335,3.61722177432
27,137,87825,641.058394161,1435,3.72847297376
28,128,84050,656.640625,1340,3.9956653657
29,120,75960,633.0,1435,4.07231383119
30,128,68345,533.9453125,1375,4.15786836333
31,131,87605,668.740458015,1265,4.30633659643
32,130,91145,701.115384615,1770,4.35795046808
33,120,82345,686.208333333,1775,4.3740416692
34,134,85700,639.552238806,1375,4.48077027818
